Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1906-0013-USA,1906,13,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,San Francisco (California),,Fire,,,,,,8,Richter,37.67,-122.48,5:12,,1906,4,18,1906,4,18,700,,,84564,84564,,,180000,5849833,524000,17029512,3.077011162,,,,
1915-0004-USA,1915,4,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,El Centro (California),,,,,,,,6,Richter,32.47,-115.33,20:56,,1915,6,22,1915,6,22,6,,,,,,,,,1000,28864,3.464486641,,,,
1925-0005-USA,1925,5,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,Santa Barbara (California),,,,,No,No,,6,Richter,34.25 N,119.41 W,,,1925,6,29,1925,6,29,13,,,,,,,,,8000,133203,6.005869934,,,,
1933-0007-USA,1933,7,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,Long Beach (California),,Tsunami/Tidal wave,,,,,,6,Richter,33.62,117.97,17:54,,1933,3,10,1933,3,10,116,,,,,,,,,38500,868452,4.43317534,,,,
1940-0008-USA,1940,8,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,Imperial Valley (California),,,,Yes,,,,7,Richter,32.733,-115.5,20:36,,1940,5,18,1940,5,18,9,,,,,,,,,33000,687807,4.797858145,,,,
1949-0006-USA,1949,6,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,"Puget Sound, Olympia (Washington state)",,,,,,,,7,Richter,47.167,-122.617,12:55,,1949,4,13,1949,4,13,8,,,,,,,,,25000,306809,8.148381409,,,,
1952-0004-USA,1952,4,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,Kern county (California),,,,,,,,8,Richter,34.958,-118.998,4:52,,1952,7,21,1952,7,21,12,200,,,200,,,,,60000,659756,9.094277433,,,,
1952-0006-USA,1952,6,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,"Bakersfield, Kern County (California)",,,,,,,,6,Richter,35.333,-118.917,15:41,,1952,8,22,1952,8,22,2,,,270,270,,,,,10000,109959,9.094277433,,,,
1959-0010-USA,1959,10,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,Hebgen Lake (Montana),,Tsunami/Tidal wave,,,,,,7,Richter,44.712,-111.215,23:37,,1959,8,17,1959,8,17,28,,,,,,,,,11000,110436,9.960542364,,,,
1965-0024-USA,1965,24,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,Seattle (Washington),,,,,,,,7,Richter,47.4,-122.3,7:28,,1965,4,29,1965,4,29,7,,,,,,,,,28000,260069,10.76637873,,,,
